fromUnit,toUnit,conversion,query,heading1,value1,heading2,value2,heading3,value3,,

#lines starting with # are commented out,,,,,,,,,,,

#new queries in GLIMPSE unit conversion group
1975$/cycle,2020$/cycle,4.81,10.5 Prices of all markets (2020$s),,,,,,,,
1990$/pass-km,2020$/pass-km,1.98,10.5 Prices of all markets (2020$s),,,,,,,,
1990$/ton-km,2020$/ton-km,1.98,10.5 Prices of all markets (2020$s),,,,,,,,
million90$,million2020$,1.98,10.5 Prices of all markets (2020$s),,,,,,,,
1990$/tC,2020$/tCO2,0.54,10.4 CO2 prices (2020$/tCO2),,,,,,,,
1975$/tC,2020$/tCO2,1.31,10.4 CO2 prices (2020$/tCO2),,,,,,,,
1975$/kg,2020$/kg,4.81,10.4 CO2 prices (2020$/tCO2),,,,,,,,
1990$/GJ,2020$/gal,0.261,10.7 Refined liquid prices (2020$/gal),,,,,,,,
1975$/GJ,2020$/gal,0.551,10.7 Refined liquid prices (2020$/gal),,,,,,,,

#Correcting units
#Tg,2023$mil,1.0,10.8 Damages with corrected units (2023$Mil),,,,,,,,
Tg,2023$bln,1.0,,GHG,Damage,,,,,,
Tg,2023$bln,1.0,,GHG,PMDAM,,,,,,
Tg,2023$bln,1.0,,GHG,O3DAM,,,,,,
1990$/pass-km,1990$/veh-km,1.0,Amortized cap costs of transport techs (corrected units),,,,,,,,
1990$/pass-km,1990$/veh-km,1.0,9.15 Transport tech amortized cap costs,,,,,,,,
1990$/ton-km,1990$/veh-km,1.0,9.15 Transport tech amortized cap costs,,,,,,,,



#EJ,billion gallons,0.13176,Transport final energy by tech and fuel,technology,*Liquids,,,,,,
#MTC,MTCO2,3.666,,,,,,,,,    
