parameter,region,sector,subsector,technology,2015,2021,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
intensity,AK,trn_pass_road_LDV_4W,Car,Hybrid Liquids,0.00182,0.0018,0.00166,0.0016,0.00155,0.00147,0.00139,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV_4W,Car,Liquids,0.00298,0.00285,0.00242,0.00216,0.002,0.0019,0.0018,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0,0,0.000774,0.000767,0.000691,0.000666,0.00064,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0,0,0,0,0.0014,0.00137,0.00134,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,0,0,0.00218,0.00208,0.00201,0.00189,0.00178,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,0.00407,0.00385,0.00314,0.00284,0.00262,0.00249,0.00237,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,EJ/billion-service-km
intensity,AK,trn_shipping_intl,International Ship,Liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ/billion-service-km
intensity,AL,trn_aviation_intl,International Aviation,BEV,0,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,AL,trn_aviation_intl,International Aviation,Hydrogen,0,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,AL,trn_aviation_intl,International Aviation,Liquids,0.43,0.418,0.37,0.333,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,AL,trn_freight,Domestic Ship,BEV,0,0,0,0,0.166,0.165,0.164,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,EJ/billion-service-km
intensity,AL,trn_freight,Domestic Ship,FCEV,0,0,0,0,0.221,0.22,0.219,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,0.218,EJ/billion-service-km
intensity,AL,trn_freight,Domestic Ship,Hybrid Liquids,0,0,0.268,0.267,0.265,0.264,0.263,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,EJ/billion-service-km
intensity,AL,trn_freight,Domestic Ship,Liquids,0.328,0.32,0.315,0.309,0.303,0.301,0.299,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,EJ/billion-service-km
intensity,AL,trn_freight,Freight Rail,BEV,0,0,0,0.36,0.359,0.359,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,EJ/billion-service-km
intensity,AL,trn_freight,Freight Rail,FCEV,0,0,0,0.479,0.479,0.478,0.478,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,EJ/billion-service-km
intensity,AL,trn_freight,Freight Rail,Hybrid Liquids,0,0,0,0.575,0.575,0.574,0.573,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,EJ/billion-service-km
intensity,AL,trn_freight,Freight Rail,Liquids,0.722,0.721,0.72,0.719,0.718,0.717,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,EJ/billion-service-km
intensity,AL,trn_freight,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,AL,trn_freight_road,Heavy truck,BEV,0,0,0,0.00521,0.00496,0.00471,0.00446,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,EJ/billion-service-km
intensity,AL,trn_freight_road,Heavy truck,FCEV,0,0,0,0.00803,0.0075,0.00698,0.00645,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,EJ/billion-service-km
intensity,AL,trn_freight_road,Heavy truck,Hybrid Liquids,0,0,0.0103,0.0094,0.00899,0.00858,0.00816,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,EJ/billion-service-km
intensity,AL,trn_freight_road,Heavy truck,Liquids,0.0127,0.0125,0.011,0.0101,0.00962,0.00918,0.00873,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,EJ/billion-service-km
intensity,AL,trn_freight_road,Light truck,BEV,0,0,0,0.00108,0.00107,0.00107,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,EJ/billion-service-km
intensity,AL,trn_freight_road,Light truck,FCEV,0,0,0,0.00153,0.00151,0.00148,0.00146,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,EJ/billion-service-km
intensity,AL,trn_freight_road,Light truck,Hybrid Liquids,0,0,0.00193,0.00183,0.00182,0.00181,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,EJ/billion-service-km
intensity,AL,trn_freight_road,Light truck,Liquids,0.00369,0.00332,0.0024,0.00239,0.00239,0.0024,0.0024,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,EJ/billion-service-km
intensity,AL,trn_freight_road,Medium truck,BEV,0,0,0,0.00183,0.00176,0.00168,0.00161,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,EJ/billion-service-km
intensity,AL,trn_freight_road,Medium truck,FCEV,0,0,0,0.00289,0.00277,0.00266,0.00254,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,EJ/billion-service-km
intensity,AL,trn_freight_road,Medium truck,Hybrid Liquids,0,0,0.00597,0.00555,0.00532,0.00509,0.00487,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,EJ/billion-service-km
intensity,AL,trn_freight_road,Medium truck,Liquids,0.00729,0.00715,0.00639,0.00594,0.0057,0.00545,0.00521,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,EJ/billion-service-km
intensity,AL,trn_pass,Cycle,Cycle,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,AL,trn_pass,Domestic Aviation,BEV,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,AL,trn_pass,Domestic Aviation,Hydrogen,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,AL,trn_pass,Domestic Aviation,Liquids,0.384,0.373,0.33,0.297,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,AL,trn_pass,HSR,Electric,0,0,0.263,0.263,0.262,0.262,0.262,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,EJ/billion-service-km
intensity,AL,trn_pass,Passenger Rail,Liquids,0.117,0.117,0.117,0.117,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,EJ/billion-service-km
intensity,AL,trn_pass,Walk,Walk,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,AL,trn_pass,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,AL,trn_pass_road,Bus,BEV,0,0,0,0.00197,0.00181,0.0017,0.00159,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,EJ/billion-service-km
intensity,AL,trn_pass_road,Bus,FCEV,0,0,0,0.00241,0.00226,0.00215,0.00203,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,EJ/billion-service-km
intensity,AL,trn_pass_road,Bus,Hybrid Liquids,0,0,0.00736,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,EJ/billion-service-km
intensity,AL,trn_pass_road,Bus,Liquids,0.0102,0.00951,0.0091,0.00864,0.00864,0.0082,0.00776,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,EJ/billion-service-km
intensity,AL,trn_pass_road,Bus,NG,0.0112,0.0143,0.0119,0.0116,0.0114,0.0111,0.0109,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV,2W and 3W,BEV,0,0,0,0.000421,0.00042,0.000418,0.000417,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV,2W and 3W,Liquids,0.0014,0.00133,0.0013,0.00125,0.00121,0.00117,0.00114,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV,4W,4W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV_4W,Car,BEV,0,0,0.000561,0.00055,0.000499,0.000482,0.000464,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV_4W,Car,FCEV,0,0,0,0,0.00104,0.00101,0.000989,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV_4W,Car,Hybrid Liquids,0.00182,0.0018,0.00166,0.0016,0.00155,0.00147,0.00139,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV_4W,Car,Liquids,0.00298,0.00285,0.00242,0.00216,0.002,0.0019,0.0018,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,0.00172,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV_4W,Large Car and Truck,BEV,0,0,0.000774,0.000767,0.000691,0.000666,0.00064,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,0.000615,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,0,0,0,0,0.0014,0.00137,0.00134,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,0.00131,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,0,0,0.00218,0.00208,0.00201,0.00189,0.00178,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,0.00169,EJ/billion-service-km
intensity,AL,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,0.00407,0.00385,0.00314,0.00284,0.00262,0.00249,0.00237,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,0.00227,EJ/billion-service-km
intensity,AL,trn_shipping_intl,International Ship,BEV,0,0,0,0,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,EJ/billion-service-km
intensity,AL,trn_shipping_intl,International Ship,FCEV,0,0,0,0,1.37,1.37,1.36,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,EJ/billion-service-km
intensity,AL,trn_shipping_intl,International Ship,Hybrid Liquids,0,0,1.67,1.66,1.65,1.64,1.63,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,EJ/billion-service-km
intensity,AL,trn_shipping_intl,International Ship,Liquids,2.1,2.09,2.08,2.07,2.06,2.05,2.04,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,EJ/billion-service-km
intensity,AR,trn_aviation_intl,International Aviation,BEV,0,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,AR,trn_aviation_intl,International Aviation,Hydrogen,0,0,0,0,0,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,AR,trn_aviation_intl,International Aviation,Liquids,0.43,0.418,0.37,0.333,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,EJ/billion-service-km
intensity,AR,trn_freight,Domestic Ship,Liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EJ/billion-service-km
intensity,AR,trn_freight,Freight Rail,BEV,0,0,0,0.36,0.359,0.359,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,EJ/billion-service-km
intensity,AR,trn_freight,Freight Rail,FCEV,0,0,0,0.479,0.479,0.478,0.478,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,EJ/billion-service-km
intensity,AR,trn_freight,Freight Rail,Hybrid Liquids,0,0,0,0.575,0.575,0.574,0.573,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572,EJ/billion-service-km
intensity,AR,trn_freight,Freight Rail,Liquids,0.722,0.721,0.72,0.719,0.718,0.717,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,0.716,EJ/billion-service-km
intensity,AR,trn_freight,road,road,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,AR,trn_freight_road,Heavy truck,BEV,0,0,0,0.00521,0.00496,0.00471,0.00446,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,0.00421,EJ/billion-service-km
intensity,AR,trn_freight_road,Heavy truck,FCEV,0,0,0,0.00803,0.0075,0.00698,0.00645,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,0.00592,EJ/billion-service-km
intensity,AR,trn_freight_road,Heavy truck,Hybrid Liquids,0,0,0.0103,0.0094,0.00899,0.00858,0.00816,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,0.00775,EJ/billion-service-km
intensity,AR,trn_freight_road,Heavy truck,Liquids,0.0127,0.0125,0.011,0.0101,0.00962,0.00918,0.00873,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,0.00829,EJ/billion-service-km
intensity,AR,trn_freight_road,Light truck,BEV,0,0,0,0.00108,0.00107,0.00107,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,EJ/billion-service-km
intensity,AR,trn_freight_road,Light truck,FCEV,0,0,0,0.00153,0.00151,0.00148,0.00146,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,0.00143,EJ/billion-service-km
intensity,AR,trn_freight_road,Light truck,Hybrid Liquids,0,0,0.00193,0.00183,0.00182,0.00181,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,EJ/billion-service-km
intensity,AR,trn_freight_road,Light truck,Liquids,0.00369,0.00332,0.0024,0.00239,0.00239,0.0024,0.0024,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,0.00241,EJ/billion-service-km
intensity,AR,trn_freight_road,Medium truck,BEV,0,0,0,0.00183,0.00176,0.00168,0.00161,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,0.00153,EJ/billion-service-km
intensity,AR,trn_freight_road,Medium truck,FCEV,0,0,0,0.00289,0.00277,0.00266,0.00254,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,0.00242,EJ/billion-service-km
intensity,AR,trn_freight_road,Medium truck,Hybrid Liquids,0,0,0.00597,0.00555,0.00532,0.00509,0.00487,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,0.00464,EJ/billion-service-km
intensity,AR,trn_freight_road,Medium truck,Liquids,0.00729,0.00715,0.00639,0.00594,0.0057,0.00545,0.00521,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,0.00496,EJ/billion-service-km
intensity,AR,trn_pass,Cycle,Cycle,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,EJ/billion-service-km
intensity,AR,trn_pass,Domestic Aviation,BEV,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,AR,trn_pass,Domestic Aviation,Hydrogen,0,0,0,0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,AR,trn_pass,Domestic Aviation,Liquids,0.384,0.373,0.33,0.297,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,EJ/billion-service-km
intensity,AR,trn_pass,HSR,Electric,0.264,0.263,0.263,0.263,0.262,0.262,0.262,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,EJ/billion-service-km
