parameter,region,sector,subsector,technology,2015,2021,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
intensity,AK,trn_pass_road,Bus,BEV,0,0,0,0.00197,0.00181,0.0017,0.00159,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,EJ/billion-service-km
intensity,AK,trn_pass_road,Bus,FCEV,0,0,0,0.00241,0.00226,0.00215,0.00203,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,0.00191,EJ/billion-service-km
intensity,AK,trn_pass_road,Bus,Hybrid Liquids,0,0,0.00736,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,0.00698,EJ/billion-service-km
intensity,AK,trn_pass_road,Bus,Liquids,0.0102,0.00951,0.0091,0.00864,0.00864,0.0082,0.00776,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,0.00732,EJ/billion-service-km
intensity,AK,trn_pass_road,Bus,NG,0.0112,0.0143,0.0119,0.0116,0.0114,0.0111,0.0109,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,0.0106,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV,2W and 3W,BEV,0,0,0,0.000421,0.00042,0.000418,0.000417,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,0.000415,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV,2W and 3W,Liquids,0.0014,0.00133,0.0013,0.00125,0.00121,0.00117,0.00114,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV,4W,4W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV_4W,Car,BEV,0,0,0.000561,0.00055,0.000499,0.000482,0.000464,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,0.000446,EJ/billion-service-km
intensity,AK,trn_pass_road_LDV_4W,Car,FCEV,0,0,0,0,0.00104,0.00101,0.000989,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,0.000966,EJ/billion-service-km
